segment_index,time_hours,start_time_hours,end_time_hours,stage,dominant_emotion,bizarreness_score,lucidity_probability,generation_mode,llm_trigger_type,llm_latency_ms,template_bank,ach,serotonin,ne,cortisol,narrative,scene_description,active_memory_ids
2386e62d-071d-47c2-857f-d03ac21847f5,,,0.008333,N1,fearful,0.465,,TEMPLATE,,,n1_fearful_01,0.4943,0.2946,0.2973,0.353,"The boundary of wakefulness fractures into abrupt flashes of threat: a voice near my ear, a silhouette in the hallway, the sensation of falling without movement; each image vanishes instantly, leaving a lingering fear that colors the next transition. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A fearful dreamscape at N1 depth.,
fdbd1a69-372d-4fff-839a-59dc926b926e,0.008333,0.008333,0.016667,N1,melancholic,0.5,,TEMPLATE,,,n1_any_01,0.5053,0.2927,0.2836,0.3283,"I pass through short-lived scenes where objects, voices, and body sensations overlap in unstable combinations, creating the unmistakable feeling of transition; the imagery is brief and porous, allowing waking reality and dream logic to coexist for a few uncertain moments.",A melancholic dreamscape at N1 depth.,mem::childhood_home|mem::dread|mem::grief|mem::falling
d44fe1bf-ef9f-4224-a522-ef0cf4a12fd3,0.016667,0.016667,0.025,N1,neutral,0.494,,TEMPLATE,,,n1_neutral_01,0.5046,0.315,0.2975,0.3544,"At the edge of sleep I hover between the room and a drifting interior stage, where half-formed faces, corridor lights, and bits of spoken language appear for a breath, dissolve, and return with slight changes that feel both familiar and unplaceable.",A neutral dreamscape at N1 depth.,mem::childhood_home|mem::dread|mem::grief|mem::falling
9ba1251a-f002-42ad-97bb-f3bb1acf9855,0.025,0.025,0.033333,N1,anxious,0.443,,TEMPLATE,,,n1_any_01,0.5081,0.2843,0.2789,0.3555,"I pass through short-lived scenes where objects, voices, and body sensations overlap in unstable combinations, creating the unmistakable feeling of transition; the imagery is brief and porous, allowing waking reality and dream logic to coexist for a few uncertain moments.",A anxious dreamscape at N1 depth.,mem::childhood_home|mem::dread|mem::grief|mem::falling|mem::school_corridor
f53e9d87-54c0-4be8-a8fe-aa6cf019e12b,0.033333,0.033333,0.041667,N1,anxious,0.436,,TEMPLATE,,,n1_anxious_01,0.4701,0.3018,0.2863,0.3324,"A mild tension rides each flicker of imagery as doorframes tilt and shadows expand just before I can inspect them, then snap away; the scene feels unfinished, yet my body senses a warning signal that keeps me suspended in uncertain, shallow descent.",A anxious dreamscape at N1 depth.,mem::childhood_home|mem::dread|mem::grief|mem::falling|mem::school_corridor
4281348c-0585-42d4-a321-4840066afc9a,0.041667,0.041667,0.05,N1,anxious,0.422,,TEMPLATE,,,n1_any_01,0.4988,0.2855,0.327,0.3553,"I pass through short-lived scenes where objects, voices, and body sensations overlap in unstable combinations, creating the unmistakable feeling of transition; the imagery is brief and porous, allowing waking reality and dream logic to coexist for a few uncertain moments.",A anxious dreamscape at N1 depth.,mem::childhood_home|mem::grief|mem::dread|mem::falling|mem::school_corridor
e8f077ea-788e-4210-8bb5-549189f5a806,0.05,0.05,0.058333,N1,serene,0.496,,TEMPLATE,,,n1_serene_01,0.4963,0.3394,0.2746,0.3587,"The world narrows to floating textures and distant sounds that never demand action, while thoughts loosen into slow visual fragments; I feel carried by a calm undertow, crossing the threshold in quiet increments as the waking room recedes without resistance.",A serene dreamscape at N1 depth.,mem::childhood_home|mem::grief|mem::dread|mem::falling|mem::school_corridor
7b53bfdf-ac7f-4334-9794-fa122272098d,0.058333,0.058333,0.066667,N1,melancholic,0.433,,TEMPLATE,,,n1_melancholic_01,0.4752,0.2848,0.3223,0.3669,"I drift through dim fragments of remembered places, each one softened by distance and loss, as if the dream is testing old rooms for emotional echoes; everything is quiet, unfinished, and tenderly sad, with details fading before meaning can fully settle.",A melancholic dreamscape at N1 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
efcced72-6634-4984-aa2f-72019d27e1dd,0.066667,0.066667,0.075,N2,melancholic,0.45,,TEMPLATE,,,n2_melancholic_01,0.4365,0.2658,0.2965,0.3242,"I revisit quiet environments tied to old routines, where conversations are incomplete and people fade before we reconnect; the tone is reflective and heavy, with gentle sadness layered over everyday details that feel just out of reach but emotionally significant.",A melancholic dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
50ce64a0-3824-4a26-8fe3-a7de47c85d34,0.075,0.075,0.083333,N2,neutral,0.45,,TEMPLATE,,,n2_any_01,0.4044,0.3351,0.2885,0.3047,"The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough to support continuing action, mood persistence, and recognizable scene progression. The imagery keeps unfolding in layered associations, with sensory details, symbolic echoes, and emotional continuity extending the scene until it feels complete rather than abruptly truncated.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
