segment_index,time_hours,start_time_hours,end_time_hours,stage,dominant_emotion,bizarreness_score,lucidity_probability,generation_mode,llm_trigger_type,llm_latency_ms,llm_fallback_reason,template_bank,ach,serotonin,ne,cortisol,narrative,scene_description,active_memory_ids
313a2491-36ce-4728-bdb5-36a65fdfea7c,0.0,0.0,0.008333,N1,fearful,0.363,0.0,TEMPLATE,,,,n1_fearful_01,0.479,0.2969,0.3097,0.3655,"The boundary of wakefulness fractures into abrupt flashes of threat: a voice near my ear,.",A fearful dreamscape at N1 depth.,
4c29fa33-fd8a-41ca-8990-6d0c1fb1fc6e,0.008333,0.008333,0.016667,N1,melancholic,0.376,0.0,TEMPLATE,,,,n1_melancholic_01,0.4911,0.3433,0.3295,0.3504,"I drift through dim fragments of remembered places, each one softened by distance and loss,.",A melancholic dreamscape at N1 depth.,mem::cold_water|mem::being_late|mem::being_chased|mem::dread|mem::grief
be9a1000-849c-40f5-ac89-fd1438d1a87c,0.016667,0.016667,0.025,N1,anxious,0.394,0.0,TEMPLATE,,,,n1_anxious_01,0.5302,0.3164,0.2875,0.3678,A mild tension rides each flicker of imagery as doorframes tilt and shadows expand just.,A anxious dreamscape at N1 depth.,mem::cold_water|mem::being_late|mem::being_chased|mem::dread|mem::grief
58147ecd-3e60-4b71-b5e5-cc9063558123,0.025,0.025,0.033333,N1,fearful,0.42,0.0,TEMPLATE,,,,n1_any_01,0.5141,0.2936,0.2985,0.3171,"I pass through short-lived scenes where objects, voices, and body sensations overlap in unstable combinations,.",A fearful dreamscape at N1 depth.,mem::cold_water|mem::being_late|mem::being_chased|mem::dread|mem::grief
55b612fe-863f-40c6-b3bb-156eced09bad,0.033333,0.033333,0.041667,N1,curious,0.424,0.0,TEMPLATE,,,,n1_curious_01,0.5015,0.3009,0.2892,0.3443,"Every small image arrives like a clue from an unknown narrative: a map corner, a.",A curious dreamscape at N1 depth.,mem::cold_water|mem::being_late|mem::being_chased|mem::dread|mem::grief
7e9d0526-5a87-4a20-9d2c-22f31ae01cd2,0.041667,0.041667,0.05,N1,anxious,0.417,0.0,TEMPLATE,,,,n1_any_01,0.5427,0.3159,0.3031,0.3168,"I pass through short-lived scenes where objects, voices, and body sensations overlap in unstable combinations,.",A anxious dreamscape at N1 depth.,mem::being_late|mem::cold_water|mem::being_chased|mem::dread|mem::grief
d5e4c25f-90e7-45a0-b614-932ce5525bb1,0.05,0.05,0.058333,N1,melancholic,0.397,0.0,TEMPLATE,,,,n1_melancholic_01,0.5261,0.2785,0.2871,0.3472,"I drift through dim fragments of remembered places, each one softened by distance and loss,.",A melancholic dreamscape at N1 depth.,mem::childhood_home|mem::school_corridor|mem::being_chased|mem::being_late|mem::teeth_loosening
2ab3af7c-a262-4109-9c15-3877c0d9c4b2,0.058333,0.058333,0.066667,N1,melancholic,0.431,0.0,TEMPLATE,,,,n1_any_01,0.517,0.3072,0.3029,0.3528,"I pass through short-lived scenes where objects, voices, and body sensations overlap in unstable combinations,.",A melancholic dreamscape at N1 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
c9fb3c9e-5cff-4c91-b24d-4e22935ac679,0.066667,0.066667,0.075,N1,anxious,0.474,0.0,TEMPLATE,,,,n1_anxious_01,0.4726,0.2736,0.3069,0.3267,A mild tension rides each flicker of imagery as doorframes tilt and shadows expand just.,A anxious dreamscape at N1 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
40453ea6-fe26-441c-9fd2-10ee19165ee0,0.075,0.075,0.083333,N1,fearful,0.412,0.0,TEMPLATE,,,,n1_fearful_01,0.4867,0.3483,0.3056,0.3263,"The boundary of wakefulness fractures into abrupt flashes of threat: a voice near my ear,.",A fearful dreamscape at N1 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
3c71dc24-9402-4952-862f-6551a1603f62,0.083333,0.083333,0.091667,N2,neutral,0.442,0.0,TEMPLATE,,,,n2_neutral_01,0.4343,0.2864,0.2472,0.3875,"I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and each transition feels smooth enough to maintain continuity.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
